[isim],[sayi]
VEYSEL,81330
MEHMET,3893150
YUSUF,556607
RAMAZAN,507384
ALİ,2445817
HASAN,1448192
ABDİ,20506
OSMAN,839628
KENAN,110153
KADİR,246782
MUTLU,13581
CEMAL,212096
MÜMİN,37015
BAYRAM,230509
MAHMUT,390467
HÜSEYİN,1456120
BÜNYAMİN,24596
HALİL,682426
BURHAN,71059
ÖMER,571873
GÖKHAN,107400
HİMMET,24463
KEMAL,356218
CUMALİ,27565
MUSTAFA,2151789
SÜLEYMAN,532144
MUSA,211726
İSMAİL,927405
FERHAT,70377
NUH,17200
İZZET,84901
İBRAHİM,1103645
TURKAY,331
HAKKI,151490
GÜNKÜR,4
İSMET,171900
AVNİ,33596
DURAN,69910
AHMET,1913459
KAMBER,5542
MEVZU,5
NEÇMİTTİN,16
SERDAR,76594
MEHMETDEDE,2
CİHAN,42023
ZAFER,62339
TEVFİK,79119
HACI,177495
RIZA,154935
YASİN,77569
RAFET,34720
SERDAL,15963
SELAİDDİN,37
BÜLENT,101796
BARIŞ,46603
FIRAT,23563
DURMUŞALİ,2097
ZİYA,92130
MESUT,100012
SİNAN,92243
MEMİLİ,1063
DEDE,15456
ERDİNÇ,21580
NURİ,200426
SAVAŞ,33089
RECEP,314845
MUHAMMET,102452
NEŞAT,5776
ŞENGÜL,158
SERKAN,112709
VELİ,149293
HÜRKAN,174
YUNUS,105237
DURMUŞ,139995
CAHİT,39946
ERCAN,92409
AKIN,19827
YAKUP,130935
YÜCEL,36353
VOLKAN,43399
EMRAH,67529
NİSAN,434
HÜMMET,2038
VAİTTİN,14
AYTEKİN,13741
LUTFİ,7909
KASIM,66458
ABDULLAH,461207
HAKAN,147466
BEKİR,247479
MAZLUM,5453
SONER,35105
CAFER,85308
AYCAN,1765
SELÇUK,52166
SELAHATTİN,150283
TUNÇ,2960
ŞADİ,7190
KADRİ,28231
TURGUT,53437
CEZMİ,6441
NECATİ,131008
MENDERES,10498
SERVET,43431
DAVUT,71424
YAVUZ,58821
OZAN,16479
SADIK,120977
ADNAN,91174
LATİF,25910
ARİF,173823
FUAT,55742
MÜKREMİN,6379
NAZMİ,51999
İDİRİS,4640
SAFFET,17971
İSA,117118
ORHAN,181518
DEVİR,32
MURAT,491341
HİKMET,97648
UĞUR,101342
