[isim],[sayi]
TİJEN,1743
SEVGİ,140572
AYŞE,2229078
DÖNDÜ,200172
SEHER,131791
YASEMİN,148750
EMİNE,1803110
AYSEL,222735
CENNET,116709
MELAHAT,100254
ESRA,92388
HİLAL,32822
İMREN,5438
HAYRİYE,253681
HATİCE,1462412
HACERE,10041
DURSUN,39152
NEZİHAT,3971
SELVER,42840
FATMA,2963419
SABRİYE,95722
ÜMMÜGÜLSÜM,52051
FADİME,327822
NAZMİYE,161331
RAZİYE,111853
GAMZE,36259
MERYEM,466676
GÜLTEN,115037
CEMİLE,306991
ZEYNEP,668146
HAVVA,319441
MEDİNE,121341
GÜLER,120885
DUDU,160500
MÜNEVVER,136190
UMMUHANI,2561
ÖZLEM,155732
SEBAHAT,82489
MÜKERREM,28362
RAHİME,146756
ELİF,373145
HAVA,204239
TESLİME,39452
HÜRİYE,6422
ÖZGÜL,23700
FERDANE,17412
DURDU,45924
ÜMMÜ,98613
HÜRÜ,34646
GÜLSEN,41785
ZAHİDE,116969
ASİYE,205636
GÜZİDE,12842
HABİBE,106181
FİRDEVS,53913
SENEM,56851
MÜMİNE,21036
GÜLÜZAR,94466
KAMİLE,87602
ÇAĞLAR,841
MÜJDE,5061
NEŞE,45424
ŞÜKRAN,147903
HÜSNE,68900
GÜL,61937
CANSU,12714
DURSİNE,300
AYTEN,182653
MEDİHA,49625
SEBİHA,39458
ARZU,103136
GÜNGÖRDÜ,57
SABAHAT,42965
SİBEL,97913
ŞEFİĞA,25
ZELİHA,302218
FADİŞ,609
GÜNER,27513
SULTAN,402900
NİGAR,47058
DEMET,27993
ZALA,203
SAFİYE,158435
MEFARET,2412
YADİĞAR,901
NURİYE,183495
NURSEL,42677
SONGÜL,143950
ZÜBEYDE,104219
HACER,269918
ÜMMÜHAN,48555
NURAN,93493
NURTEN,133051
KÜÇÜK,2057
PINAR,74699
TUĞBA,70225
MELEHAT,6217
VAHİDE,46797
SERPİL,107929
GÜLDANE,43879
UMMAHANI,2187
SÜLEYDAM,4
RUKİYE,150795
SEVİM,289531
NURSEN,15379
FİKRİYE,119967
ZEHRA,293604
PERVİN,17732
RAHMA,1383
NACİYE,185948
SELMA,137913
AYŞEGÜL,74768
NİHAL,56975
FATİŞ,3549
ÜMMÜSÜN,787
ÜMMUHANI,85
ÜMMÜLÜ,543
HASİBE,86303
SADİYE,49777
SIDIKA,72694
LEYLA,198605
ŞEHNAZ,7423
KAZİBEN,29
DURDANE,27770
ZÜLFİYE,44431
ZEKİYE,192410
GÜLHAN,42614
AYFER,78240
ARİFE,112996
ESME,70624
NESLİHAN,77613
NEVİN,65496
RABİA,145637
ŞENCAN,1127
GÜNSER,595
ELİFE,93272
HÜLYA,185801
RABİYA,1503
MÜBERRA,10484
HURİ,32347
GÖNÜL,111866
SEVDA,64520
MELEK,196363
NİMET,86571
DERYA,90313
HALİME,216112
EBRU,65882
ÜMMÜSÜ,552
GÜLCAN,64892
MEYREM,8419
DÜRDANE,30443
FATOŞ,8217
MUTEBER,10071
EŞE,52003
SEMA,76098
GÜLSÜM,225003
EDA,30045
SEDA,41452
NERİMAN,103712
ŞADİYE,68058
SAKİNE,80514
AZİZE,78330
SEVİYE,9091
YETER,137863
MESUDE,26105
ANŞA,7468
NEBİLE,6638
KİRAZ,30739
GÜLCİHAN,10687
IRAZ,8095
AİŞE,15587
MEHRİ,7868
DİLEK,146282
AYNI,1840
NERMİN,98619
PELİN,15012
EZGİ,11900
NURAY,106394
MÜNÜFER,229
SUNA,62527
FETHİYE,48736
TUBA,40372
ŞAHİNDE,9659
ÜMÜ,82
HURİYE,153285
CEVRİYE,45410
İMRAN,11906
ARZI,12269
GÜLAY,104300
NADİYE,24392
TÜRKAN,169272
FADİLİ,245
ZÖHRE,55960
ŞERİFE,408168
MÜSLİME,5690
ÇİÇEK,35228
HANDE,9629
AFİTAB,53
NURCAN,99242
MUHTEREM,9759
DUYGU,38928
DÖNDÜLÜ,17
GÜLŞEN,97713
HANDAN,24759
NİGARE,220
NEJLA,51728
MÜRÜFET,408
AYTÜL,4786
SEVAL,29006
MELTEM,28420
AYÇA,6757
SELCAN,3523
ZEKİNE,5322
YAŞAR,46860
GÜLFADİME,19
DİLBER,59355
ZÜBEYDA,3837
TALİHA,3113
FADIMA,9460
NESİBE,42791
IŞIL,9367
NURDAN,27038
MEHPARE,2283
MEHTAP,38816
İLKAY,13466
DÖNE,92893
ŞULE,21148
NAİLE,55245
GÜLPERİ,29550
MAKBULE,175578
BAHAR,56140
ZÜLFİ,5378
FAHRİYE,78335
KADER,23699
FİLİZ,133303
FUNDA,31962
HAPILI,49
MERİYE,599
HAFİZE,116717
İPEK,43434
NAFİYE,51298
NEZİHA,33192
CANAN,69121
CAHİDE,27122
BERHAN,147
BELGİN,20689
NECLA,108449
ELMAS,112966
AYLA,44072
BEYHAN,35420
ŞEVKİYE,13921
KEZİBAN,189534
KERİME,34441
BURCU,49884
ŞEFİKA,84273
FERHAN,7284
AYNİ,5660
KÜBRA,45373
MİHRİBAN,15824
TUĞÇE,13998
SÜREYYA,26107
BETÜL,37709
SALİME,11282
FERRAHNAZ,33
JALE,13111
BİRGÜL,58603
YELİZ,34267
AYGÜL,19124
ÖZNUR,36553
MİNE,50287
MISRA,114
DİNDAR,438
GÜLSEREN,83442
GANİME,18652
MÜMÜNE,8707
SELDA,38551
GÜLFATMA,727
BEHİCE,27879
MENEKŞE,25998
HAMİDE,155147
MÜFİDE,7664
EMEL,78842
BAHRİYE,56660
GÜLSÜN,19028
DENİZ,41575
ŞENAY,46286
ZÜHAL,17086
RABİYE,41064
ASUMAN,31960
SEYCAN,1513
ESİN,24253
HANİFE,385980
SANİYE,175009
HİCRAN,12187
CANHÜDE,1
HİDAYET,24147
AYNUR,180545
GÜLNAZ,41794
AZİME,58319
NAZLI,82416
SABİHA,64667
NURGÜL,49715
NAHİDE,38868
ATİYE,35637
NERGİZ,19690
ÜLVİYE,11673
NESRİN,62853
HALİDE,28788
SÜMEYYA,2597
ÜTİYE,9
MÜZEYYEN,113064
MAHMUDE,413
ÜRÜYAN,4
CİHAN,9884
ŞÜKRİYE,111431
ŞEYMA,13209
SALİHA,127571
FATTİŞ,11
SONAY,6940
RUHKİYE,15
MÜESSER,4448
FİRDES,35606
ZARİF,4100
İLKNUR,62077
SERHAN,580
ADALET,29370
MELİHA,127781
NİĞMET,5172
IRAHMA,15
ŞAYAN,881
CEYLAN,16473
SUZAN,48218
MANOLYA,678
SEVİL,42038
GÜLLÜHAN,885
ŞÜHEYDA,99
FİGEN,31473
BİLGE,14135
GÜLENDER,4336
ZÜLEYHA,40823
GÜLBAHAR,49390
ANIŞ,607
GÜLBEN,1445
SERAP,69130
GÜLDEREN,11369
SEMENGÜL,98
SÜLBİYE,7484
KADRİYE,234399
İSMİNAZ,5489
PERİHAN,121635
BEDİHA,11707
ZÜLBİYE,12115
BEDRİYE,109664
ZEYNET,617
SELBİ,5762
SADİRE,169
SUZAR,5
FERİHAN,7956
KOCA,17
RAHMİYE,9546
YILDIZ,108975
AYSEN,6634
NEVİM,10923
SAİME,71325
ASLI,44932
MERVE,49337
TUBAĞ,20
HAMİDİYE,2464
SEBEAT,11
SALİHE,18297
SITTIĞA,11
FINDIK,10328
LUTFİYE,11179
MERAL,93456
SEMRA,114748
MEHRİBAN,7080
NİLGÜN,50068
ÜLKÜ,29619
GÜLŞAN,8387
SEKİNE,8660
RAHŞAN,3732
FAİZE,7732
GÜNEŞ,19409
BALLI,2178
GÜRCÜ,13834
GÜLLÜ,164732
LATİFE,47950
HALİSE,49532
NAZİFE,124683
ÖZAY,2076
MÜSTAKİME,215
NEZAHAT,58106
MUHLİSE,6881
ŞENGÜL,88767
MİMİNE,81
ESMA,135873
MUKADDES,46085
GÜLÜSTAN,23017
NEBİYE,21983
AYSUN,53787
TÜLAY,79529
SEDİHA,79
ISMAHAN,5501
ÜNZÜLE,17724
GÜLŞAH,29884
BİRCAN,14884
NARİME,707
NUR,35631
FETHANET,16
ÜVEYLA,3
PİYALE,76
ADİLE,78722
HATMA,82
ŞENNUR,16668
GÜLBİHAN,18
HELİME,4154
NASİBE,7656
NAZİYE,9127
ŞEMSUPANİ,1
GÜSÜM,357
ZARİFE,41346
ŞEHRİBAN,33621
SELVİNAZ,13106
GÜLÜMSER,23734
ESMEHAN,4354
SAİBE,3952
ATİKE,22453
ÜNZİLE,24088
NURDEN,578
ÜLFİYE,1859
SERDA,962
NAİME,79189
LEYMUNE,211
SEMİHA,73465
UMMUHAN,10204
REYHAN,62199
NURDANE,9677
MUHTEBER,7499
MUHTEDİR,6
ŞAKİBE,408
MUSABİYE,86
MEMDUHA,6976
NAZİRE,64808
TENZİLE,21780
RAĞİBE,996
RESMİYE,26854
FADİMA,918
MENDİZE,129
GÜLFİDAN,16767
SAMİYE,27352
MİYASE,34362
İREP,435
MUKADDİS,910
NAZİLE,18088
GÜLBEYAZ,31144
GÜLBANİ,763
HEDİYE,125362
ANİŞ,3445
NEBİHA,3460
HATİKE,1006
FERİDE,152139
ÜMMÜGÜSÜ,8
SENOL,19
AYTEMİZ,39
MÜSLÜME,7382
NAFİA,14363
URUK,32
SELİME,60161
GÜLLÜZAR,23292
GÜLİZAR,67434
MENZİLET,41
ŞİFA,2517
BİRSEN,54794
BELMA,7678
BELKIS,8146
SAYİME,10407
CENET,191
MİESSE,13
NURAL,3883
TURSİNE,19
SÜBEYDE,108
TEVHİDE,11005
DOYDUK,508
NURİFE,561
İTİBAR,629
NAZAN,28146
SEVİLAY,27627
GURBET,15780
UMMAHAN,34248
MEHMET,134
MÜYESSE,341
KADİRİYE,7119
ŞENER,1998
SEÇİL,13027
MENEVŞE,14664
MESSE,17
ULVİYE,13365
GÜLİSTAN,34398
GÜNAY,26737
RAHİYA,1
RAKİBE,4106
MARİYE,2165
SAMİYET,120
MENDUHA,2399
SARİYE,25150
SEFA,4349
İMŞEN,4
NEFİSE,42236
ALİME,59279
KERZİMAN,27
HADİCE,68272
DAMLA,8647
SAFİNAZ,16368
MÜZZEYYEN,166
GÜLLÜNAZ,633
BESİME,13139
BEDİA,36523
FALDAN,4
NAMİRE,66
NEÇLA,182
FERİHA,20293
MÜRŞİDE,10661
HAVİZE,1761
BEYZA,4423
